This is the complete list of games supported by MAME GCW0 1.1 (based on 0.37b5) (Dec 23 2013)

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Phoenix (Centuri)                |  Yes  |  Yes  |  Yes  |   No  | phoenixa |
| Phoenix (Taito)                  |  Yes  |  Yes  |  Yes  |   No  | phoenixt |
| Phoenix (T.P.N.)                 |  Yes  |  Yes  |  Yes  |   No  | phoenix3 |
| Phoenix (IRECSA, G.G.I Corp)     |  Yes  |  Yes  |  Yes  |   No  | phoenixc |
| Pleiads (Tehkan)                 |  Yes  |  Yes  |  Yes  |   No  | pleiads  |
| Pleiads (bootleg)                |  Yes  |  Yes  |  Yes  |   No  | pleiadbl |
| Pleiads (Centuri)                |  Yes  |  Yes  |  Yes  |   No  | pleiadce |
| Naughty Boy                      |  Yes  |  Yes  |  Yes  |   No  | naughtyb |
| Naughty Boy (bootleg)            |  Yes  |  Yes  |  Yes  |   No  | naughtya |
| Naughty Boy (Cinematronics)      |  Yes  |  Yes  |  Yes  |   No  | naughtyc |
| Pop Flamer (set 1)               |  Yes  |  Yes  |  Yes  |   No  | popflame |
| Pop Flamer (set 2)               |  Yes  |  Yes  |  Yes  |   No  | popflama |
| Gee Bee                          |  Yes  |  Yes  |  Yes  |  Yes  | geebee   |
| Gee Bee (Gremlin)                |  Yes  |  Yes  |  Yes  |  Yes  | geebeeg  |
| Bomb Bee                         |  Yes  |  Yes  |  Yes  |   No  | bombbee  |
| Cutie Q                          |  Yes  |  Yes  |  Yes  |   No  | cutieq   |
| Navalone                         |  Yes  |  Yes  |Partial|  Yes  | navalone |
| Kaitei Takara Sagashi            |  Yes  |  Yes  |  Yes  |  Yes  | kaitei   |
| Kaitei Takara Sagashi (Namco)    |  Yes  |  Yes  |  Yes  |  Yes  | kaitein  |
| SOS                              |  Yes  |  Yes  |Partial|  Yes  | sos      |
| Tank Battalion                   |  Yes  |  Yes  | Yes(2)|  Yes  | tankbatt |
| Warp & Warp                      |  Yes  |  Yes  |  Yes  |   No  | warpwarp |
| Warp Warp (Rock-ola set 1)       |  Yes  |  Yes  |  Yes  |   No  | warpwarr |
| Warp Warp (Rock-ola set 2)       |  Yes  |  Yes  |  Yes  |   No  | warpwar2 |
| Rally X                          |  Yes  |  Yes  | Yes(2)|  Yes  | rallyx   |
| Rally X (Midway)                 |  Yes  |  Yes  | Yes(2)|  Yes  | rallyxm  |
| New Rally X                      |  Yes  |  Yes  | Yes(2)|  Yes  | nrallyx  |
| Jungler                          |  Yes  |  Yes  |  Yes  |  Yes  | jungler  |
| Jungler (Stern)                  |  Yes  |  Yes  |  Yes  |  Yes  | junglers |
| Loco-Motion                      |  Yes  |  Yes  |  Yes  |  Yes  | locomotn |
| Guttang Gottong                  |  Yes  |  Yes  |  Yes  |  Yes  | gutangtn |
| Cotocoto Cottong                 |  Yes  |  Yes  |  Yes  |  Yes  | cottong  |
| Commando (Sega)                  |  Yes  |  Yes  |  Yes  |  Yes  | commsega |
| Bosconian (new version)          |  Yes  |  Yes  | Yes(2)|  Yes  | bosco    |
| Bosconian (old version)          |  Yes  |  Yes  | Yes(2)|  Yes  | boscoo   |
| Bosconian (older version)        |  Yes  |  Yes  | Yes(2)|  Yes  | boscoo2  |
| Bosconian (Midway, new version)  |  Yes  |  Yes  | Yes(2)|  Yes  | boscomd  |
| Bosconian (Midway, old version)  |  Yes  |  Yes  | Yes(2)|  Yes  | boscomdo |
| Galaga (Namco)                   |  Yes  |  Yes  | Yes(2)|  Yes  | galaga   |
| Galaga (Midway)                  |  Yes  |  Yes  | Yes(2)|  Yes  | galagamw |
