This is the complete list of games supported by MAME GCW0 1.1 (based on 0.37b5) (Dec 23 2013)

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Spiker                           |  Yes  |  Yes  |  Yes  |  Yes  | spiker   |
| Rescue Raider                    |  Yes  |  Yes  |  Yes  |  Yes  | rescraid |
| Rescue Raider (Stand-Alone)      |  Yes  |  Yes  |  Yes  |  Yes  | rescrdsa |
| Sky Chuter                       |  Yes  |   No  |  Yes  |  Yes  | skychut  |
| Red Alert                        |  Yes  |   No  |Partial|  Yes  | redalert |
| Oli-Boo-Chu                      |  Yes  |   No  |Partial|  Yes  | olibochu |
| Moon Patrol                      |  Yes  |  Yes  |  Yes  |  Yes  | mpatrol  |
| Moon Patrol (Williams)           |  Yes  |  Yes  |  Yes  |  Yes  | mpatrolw |
| Moon Ranger                      |  Yes  |  Yes  |  Yes  |  Yes  | mranger  |
| Tropical Angel                   |  Yes  |  Yes  |  Yes  |  Yes  | troangel |
| 10 Yard Fight                    |  Yes  |  Yes  |  Yes  |  Yes  | yard     |
| 10 Yard Fight (Vs. version 11/05/|  Yes  |  Yes  |  Yes  |  Yes  | vsyard   |
| 10 Yard Fight (Vs. version, set 2|  Yes  |  Yes  |  Yes  |  Yes  | vsyard2  |
| Traverse USA / Zippy Race        |  Yes  |  Yes  |  Yes  |  Yes  | travrusa |
| MotoRace USA                     |  Yes  |  Yes  |  Yes  |  Yes  | motorace |
| Kung Fu Master                   |  Yes  |  Yes  |  Yes  |  Yes  | kungfum  |
| Kung Fu Master (Data East)       |  Yes  |  Yes  |  Yes  |  Yes  | kungfud  |
| Spartan X (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | spartanx |
| Kung Fu Master (bootleg set 1)   |  Yes  |  Yes  |  Yes  |  Yes  | kungfub  |
| Kung Fu Master (bootleg set 2)   |  Yes  |  Yes  |  Yes  |  Yes  | kungfub2 |
| Battle-Road, The                 |  Yes  |  Yes  |  Yes  |  Yes  | battroad |
| Lode Runner (set 1)              |  Yes  |  Yes  |  Yes  |  Yes  | ldrun    |
| Lode Runner (set 2)              |  Yes  |  Yes  |  Yes  |  Yes  | ldruna   |
| Lode Runner II - The Bungeling St|  Yes  |  Yes  |  Yes  |  Yes  | ldrun2   |
| Lode Runner III - Majin No Fukkat|  Yes  |  Yes  |  Yes  |  Yes  | ldrun3   |
| Lode Runner IV - Teikoku Karano D|  Yes  |  Yes  |  Yes  |  Yes  | ldrun4   |
| Lot Lot                          |  Yes  |  Yes  |  Yes  |  Yes  | lotlot   |
| Kid Niki - Radical Ninja (US)    |  Yes  |  Yes  |Partial|  Yes  | kidniki  |
| Kaiketsu Yanchamaru (Japan)      |  Yes  |  Yes  |Partial|  Yes  | yanchamr |
| Spelunker                        |  Yes  |  Yes  |  Yes  |  Yes  | spelunkr |
| Spelunker II                     |  Yes  |  Yes  |  Yes  |  Yes  | spelunk2 |
| Vigilante (World)                |  Yes  |  Yes  |  Yes  |   No  | vigilant |
| Vigilante (US)                   |  Yes  |  Yes  |  Yes  |   No  | vigilntu |
| Vigilante (Japan)                |  Yes  |  Yes  |  Yes  |   No  | vigilntj |
| Meikyu Jima (Japan)              |  Yes  |  Yes  |  Yes  |   No  | kikcubic |
| R-Type (Japan)                   |  Yes  |  Yes  |  Yes  |   No  | rtype    |
| R-Type (Japan prototype)         |  Yes  |  Yes  |  Yes  |   No  | rtypepj  |
| R-Type (US)                      |  Yes  |  Yes  |  Yes  |   No  | rtypeu   |
| Battle Chopper                   |  Yes  |  Yes  |  Yes  |   No  | bchopper |
| Mr. HELI no Dai-Bouken           |  Yes  |  Yes  |  Yes  |   No  | mrheli   |
| Ninja Spirit                     |  Yes  |  Yes  |  Yes  |   No  | nspirit  |
| Saigo no Nindou (Japan)          |  Yes  |  Yes  |  Yes  |   No  | nspiritj |
| Image Fight (Japan)              |  Yes  |  Yes  |  Yes  |   No  | imgfight |
| Legend of Hero Tonma             |  Yes  |  Yes  |  Yes  |   No  | loht     |
| X Multiply (Japan)               |  Yes  |  Yes  |  Yes  |   No  | xmultipl |
| Dragon Breed                     |  Yes  |  Yes  |  Yes  |   No  | dbreed   |
| R-Type II                        |  Yes  |  Yes  |  Yes  |   No  | rtype2   |
| R-Type II (Japan)                |  Yes  |  Yes  |  Yes  |   No  | rtype2j  |
| Major Title (Japan)              |   No  |  Yes  |  Yes  |   No  | majtitle |
| Hammerin' Harry (World)          |  Yes  |  Yes  |  Yes  |   No  | hharry   |
| Hammerin' Harry (US)             |  Yes  |  Yes  |  Yes  |   No  | hharryu  |
| Daiku no Gensan (Japan)          |  Yes  |  Yes  |  Yes  |   No  | dkgensan |
| Pound for Pound (World)          |  Yes  |  Yes  |Partial|   No  | poundfor |
| Pound for Pound (US)             |  Yes  |  Yes  |Partial|   No  | poundfou |
| Air Duel (Japan)                 |  Yes  |  Yes  |Partial|   No  | airduel  |
| Gallop - Armed police Unit (Japan|  Yes  |  Yes  |Partial|   No  | gallop   |
| Sichuan II (hack?) (set 1)       |  Yes  |  Yes  |  Yes  |  Yes  | sichuan2 |
| Sichuan II (hack ?) (set 2)      |  Yes  |  Yes  |  Yes  |  Yes  | sichuana |
| Shisensho - Joshiryo-Hen (Japan) |  Yes  |  Yes  |  Yes  |  Yes  | shisen   |
| Hasamu (Japan)                   |  Yes  |  Yes  |  Yes  |   No  | hasamu   |
| Bomber Man World (World)         |  Yes  |  Yes  |Partial|   No  | bbmanw   |
| Bomber Man World (Japan)         |  Yes  |  Yes  |  Yes  |   No  | bbmanwj  |
| Dynablaster (World)              |  Yes  |  Yes  |  Yes  |   No  | dynablst |
| Bomberman (Japan)                |  Yes  |  Yes  |  Yes  |   No  | bombrman |
| Blade Master (World)             |  Yes  |  Yes  |  Yes  |  Yes  | bmaster  |
| Gunforce - Battle Fire Engulfed T|  Yes  |  Yes  |  Yes  |  Yes  | gunforce |
| Gunforce - Battle Fire Engulfed T|  Yes  |  Yes  |  Yes  |  Yes  | gunforcu |
| Gunforce - Battle Fire Engulfed T|  Yes  |  Yes  |  Yes  |  Yes  | gunforcj |
| Hook (World)                     |  Yes  |  Yes  |  Yes  |  Yes  | hook     |
| Hook (US)                        |  Yes  |  Yes  |  Yes  |  Yes  | hooku    |
| Mystic Riders (World)            |  Yes  |  Yes  |  Yes  |  Yes  | mysticri |
| Gun Hohki (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | gunhohki |
| Undercover Cops (World)          |  Yes  |  Yes  |  Yes  |  Yes  | uccops   |
| Undercover Cops (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | uccopsj  |
| R-Type Leo (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | rtypeleo |
| Major Title 2 (World)            |  Yes  |  Yes  |  Yes  |  Yes  | majtitl2 |
| Irem Skins Game, The (US set 1)  |  Yes  |  Yes  |  Yes  |  Yes  | skingame |
| Irem Skins Game, The (US set 2)  |  Yes  |  Yes  |  Yes  |  Yes  | skingam2 |
| In The Hunt (World)              |  Yes  |  Yes  |  Yes  |  Yes  | inthunt  |
| In The Hunt (US)                 |  Yes  |  Yes  |  Yes  |  Yes  | inthuntu |
| Kaitei Daisensou (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | kaiteids |
| Ninja Baseball Batman (US)       |  Yes  |  Yes  |  Yes  |  Yes  | nbbatman |
| Yakyuu Kakutou League-Man (Japan)|  Yes  |  Yes  |  Yes  |  Yes  | leaguemn |
| Lethal Thunder (World)           |  Yes  |  Yes  |  Yes  |  Yes  | lethalth |
| Thunder Blaster (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | thndblst |
| Perfect Soldiers (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | psoldier |
| Dream Soccer '94                 |  Yes  |  Yes  |   No  |  Yes  | dsoccr94 |
| Reactor                          |  Yes  |  Yes  |  Yes  |  Yes  | reactor  |
| Mad Planets                      |  Yes  |  Yes  |  Yes  |  Yes  | mplanets |
| Q*bert (US)                      |  Yes  |  Yes  |  Yes  |  Yes  | qbert    |
| Q*bert (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | qbertjp  |
| Insector (prototype)             |  Yes  |  Yes  |   No  |  Yes  | insector |
| Krull                            |  Yes  |  Yes  |  Yes  |  Yes  | krull    |
| Faster, Harder, More Challenging |  Yes  |  Yes  |  Yes  |  Yes  | sqbert   |
| M.A.C.H. 3                       |   No  |  Yes  |  Yes  |  Yes  | mach3    |
| Us vs. Them                      |   No  |  Yes  |  Yes  |  Yes  | usvsthem |
| Three Stooges                    |  Yes  |  Yes  |Partial|  Yes  | 3stooges |
| Q*bert's Qubes                   |  Yes  |  Yes  |  Yes  |  Yes  | qbertqub |
| Screw Loose (prototype)          |  Yes  |  Yes  |  Yes  |  Yes  | screwloo |
| Curve Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | curvebal |
| Crazy Balloon (set 1)            |  Yes  |  Yes  |Partial|  Yes  | crbaloon |
| Crazy Balloon (set 2)            |  Yes  |  Yes  |Partial|  Yes  | crbalon2 |
| Qix (set 1)                      |  Yes  |  Yes  |  Yes  |   No  | qix      |
| Qix (set 2)                      |  Yes  |  Yes  |  Yes  |   No  | qixa     |
| Qix (set 3)                      |  Yes  |  Yes  |  Yes  |   No  | qixb     |
| Qix II (Tournament)              |  Yes  |  Yes  |  Yes  |   No  | qix2     |
| Space Dungeon                    |  Yes  |  Yes  |  Yes  |   No  | sdungeon |
| Electric Yo-Yo, The (set 1)      |  Yes  |  Yes  |  Yes  |   No  | elecyoyo |
| Electric Yo-Yo, The (set 2)      |  Yes  |  Yes  |  Yes  |   No  | elecyoy2 |
| Kram (set 1)                     |  Yes  |  Yes  |  Yes  |   No  | kram     |
| Kram (set 2)                     |  Yes  |  Yes  |  Yes  |   No  | kram2    |
| Zoo Keeper (set 1)               |  Yes  |  Yes  |  Yes  |   No  | zookeep  |
| Zoo Keeper (set 2)               |  Yes  |  Yes  |  Yes  |   No  | zookeep2 |
| Zoo Keeper (set 3)               |  Yes  |  Yes  |  Yes  |   No  | zookeep3 |
| Space Seeker                     |  Yes  |  Yes  |  Yes  |  Yes  | spaceskr |
| Space Cruiser                    |  Yes  |  Yes  |  Yes  |  Yes  | spacecr  |
| Jungle King (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | junglek  |
| Jungle King (Japan, earlier)     |  Yes  |  Yes  |  Yes  |  Yes  | junglkj2 |
| Jungle Hunt (US)                 |  Yes  |  Yes  |  Yes  |  Yes  | jungleh  |
| Jungle Hunt (Brazil)             |  Yes  |  Yes  |  Yes  |  Yes  | junglhbr |
| Pirate Pete                      |  Yes  |  Yes  |  Yes  |  Yes  | piratpet |
| Alpine Ski (set 1)               |  Yes  |  Yes  |  Yes  |  Yes  | alpine   |
| Alpine Ski (set 2)               |  Yes  |  Yes  |  Yes  |  Yes  | alpinea  |
| Time Tunnel                      |  Yes  |  Yes  |  Yes  |  Yes  | timetunl |
| Wild Western (set 1)             |  Yes  |  Yes  |  Yes  |  Yes  | wwestern |
| Wild Western (set 2)             |  Yes  |  Yes  |  Yes  |  Yes  | wwester1 |
| Front Line                       |  Yes  |  Yes  |  Yes  |  Yes  | frontlin |
| Elevator Action                  |  Yes  |  Yes  |  Yes  |  Yes  | elevator |
| Elevator Action (bootleg)        |  Yes  |  Yes  |  Yes  |  Yes  | elevatob |
| Tin Star, The                    |  Yes  |  Yes  |  Yes  |  Yes  | tinstar  |
| Water Ski                        |  Yes  |  Yes  |  Yes  |  Yes  | waterski |
| Bio Attack                       |  Yes  |  Yes  |  Yes  |  Yes  | bioatack |
| High Way Race                    |  Yes  |  Yes  |  Yes  |  Yes  | hwrace   |
| Sea Fighter Poseidon             |  Yes  |  Yes  |  Yes  |  Yes  | sfposeid |
| Kick Start Wheelie King          |  Yes  |  Yes  |  Yes  |  Yes  | kikstart |
| Birdie King 2                    |  Yes  |  Yes  |  Yes  |  Yes  | bking2   |
| Great Swordsman                  |  Yes  | Close |  Yes  |  Yes  | gsword   |
| Legend of Kage, The              |  Yes  |  Yes  |  Yes  |  Yes  | lkage    |
| Legend of Kage, The (bootleg set | No(1) |  Yes  |  Yes  |  Yes  | lkageb   |
| Legend of Kage, The (bootleg set |  Yes  |  Yes  |  Yes  |  Yes  | lkageb2  |
| Legend of Kage, The (bootleg set |  Yes  |  Yes  |  Yes  |  Yes  | lkageb3  |
| Return of the Invaders           |  Yes  |  Yes  |  Yes  |  Yes  | retofinv |
| Return of the Invaders (bootleg s|  Yes  |  Yes  |  Yes  |  Yes  | retofin1 |
| Return of the Invaders (bootleg s|  Yes  |  Yes  |  Yes  |  Yes  | retofin2 |
| Samurai Nihon-ichi (set 1)       |  Yes  |  Yes  |  Yes  |  Yes  | tsamurai |
| Samurai Nihon-ichi (set 2)       |  Yes  |  Yes  |  Yes  |  Yes  | tsamura2 |
| Nunchackun                       |  Yes  |   No  |  Yes  |  Yes  | nunchaku |
| Go Go Mr. Yamaguchi / Yuke Yuke Y|  Yes  | Close |  Yes  |  Yes  | yamagchi |
| FairyLand Story, The             |  Yes  |  Yes  |Partial|   No  | flstory  |
| FairyLand Story, The (Japan)     |  Yes  |  Yes  |Partial|   No  | flstoryj |
| Gladiator (US)                   |  Yes  |  Yes  |  Yes  |   No  | gladiatr |
| Ohgon no Siro (Japan)            |  Yes  |  Yes  |  Yes  |   No  | ogonsiro |
| Land Sea Air Squad / Riku Kai Kuu|  Yes  |  Yes  |  Yes  |  Yes  | lsasquad |
| Storming Party / Riku Kai Kuu Sai|  Yes  |  Yes  |  Yes  |  Yes  | storming |
| Tokio / Scramble Formation       | No(1) |  Yes  |  Yes  |  Yes  | tokio    |
| Tokio / Scramble Formation (bootl|  Yes  |  Yes  |  Yes  |  Yes  | tokiob   |
| Bubble Bobble                    |  Yes  |  Yes  |  Yes  |  Yes  | bublbobl |
| Bubble Bobble (US with mode selec|  Yes  |  Yes  |  Yes  |  Yes  | bublbobr |
| Bubble Bobble (US)               |  Yes  |  Yes  |  Yes  |  Yes  | bubbobr1 |
| Bobble Bobble                    |  Yes  |  Yes  |  Yes  |  Yes  | boblbobl |
| Super Bobble Bobble              |  Yes  |  Yes  |  Yes  |  Yes  | sboblbob |
| Kick and Run                     |  Yes  |  Yes  |  Yes  |  Yes  | kicknrun |
| Mexico 86                        |  Yes  |  Yes  |  Yes  |  Yes  | mexico86 |
| KiKi KaiKai                      |  Yes  |  Yes  |  Yes  |  Yes  | kikikai  |
| Rastan (World)                   |  Yes  |  Yes  |  Yes  |  Yes  | rastan   |
| Rastan (US set 1)                |  Yes  |  Yes  |  Yes  |  Yes  | rastanu  |
| Rastan (US set 2)                |  Yes  |  Yes  |  Yes  |  Yes  | rastanu2 |
| Rastan Saga (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | rastsaga |
| Rainbow Islands                  |  Yes  |  Yes  |  Yes  |  Yes  | rainbow  |
| Rainbow Islands (Extra)          | No(1) |  Yes  |  Yes  |  Yes  | rainbowe |
| Jumping                          |  Yes  |  Yes  |  Yes  |  Yes  | jumping  |
| Arkanoid (World)                 |  Yes  |  Yes  |  Yes  |  Yes  | arkanoid |
| Arkanoid (US)                    |  Yes  |  Yes  |  Yes  |  Yes  | arknoidu |
| Arkanoid (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | arknoidj |
| Arkanoid (Japanese bootleg Set 2)| No(1) |  Yes  |  Yes  |  Yes  | arkbl2   |
| Arkanoid (Tayto bootleg, Japanese|  Yes  |  Yes  |  Yes  |  Yes  | arkatayt |
| Block (Game Corporation bootleg) |  Yes  |  Yes  |  Yes  |  Yes  | arkbloc2 |
| Arkanoid (Game Corporation bootle|  Yes  |  Yes  |  Yes  |  Yes  | arkangc  |
| Tournament Arkanoid (US)         |  Yes  |  Yes  |  Yes  |  Yes  | arkatour |
| Super Qix                        | No(1) |  Yes  |  Yes  |   No  | superqix |
| Super Qix (bootleg)              |  Yes  |  Yes  |  Yes  |   No  | sqixbl   |
| Superman                         |  Yes  |  Yes  |  Yes  |   No  | superman |
| Minivader                        |  Yes  |  Yes  |  Yes  |  Yes  | minivadr |
| Extermination (US)               |  Yes  |  Yes  |  Yes  |  Yes  | extrmatn |
| Arkanoid - Revenge of DOH (World)|  Yes  |  Yes  |  Yes  |  Yes  | arkanoi2 |
| Arkanoid - Revenge of DOH (US)   |  Yes  |  Yes  |  Yes  |  Yes  | ark2us   |
| Arkanoid - Revenge of DOH (Japan)|  Yes  |  Yes  |  Yes  |  Yes  | ark2jp   |
| Plump Pop (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | plumppop |
| Dr. Toppel's Tankentai (Japan)   |  Yes  |  Yes  |  Yes  |  Yes  | drtoppel |
| Chuka Taisen (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | chukatai |
| NewZealand Story, The (Japan)    |  Yes  |  Yes  |  Yes  |  Yes  | tnzs     |
| NewZealand Story, The (World, boo|  Yes  |  Yes  |  Yes  |  Yes  | tnzsb    |
| NewZealand Story 2, The (World)  |  Yes  |  Yes  |  Yes  |  Yes  | tnzs2    |
| Insector X (World)               |  Yes  |  Yes  |  Yes  |  Yes  | insectx  |
| Kageki (US)                      |  Yes  |  Yes  |  Yes  |  Yes  | kageki   |
| Kageki (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | kagekij  |
| Raimais (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | raimais  |
| Fighting Hawk (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | fhawk    |
| Champion Wrestler (World)        |  Yes  |  Yes  |  Yes  |  Yes  | champwr  |
| Champion Wrestler (US)           |  Yes  |  Yes  |  Yes  |  Yes  | champwru |
| Champion Wrestler (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | champwrj |
| Kuri Kinton (World)              |  Yes  |  Yes  |  Yes  |  Yes  | kurikint |
| Kuri Kinton (prototype?)         |  Yes  |  Yes  |  Yes  |  Yes  | kurikina |
| Plotting (World)                 |  Yes  |  Yes  |  Yes  |  Yes  | plotting |
| Puzznic (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | puzznic  |
| American Horseshoes (US)         |  Yes  |  Yes  |  Yes  |  Yes  | horshoes |
| Palamedes (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | palamed  |
| Cachat (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | cachat   |
| Tube-It                          |  Yes  |  Yes  |  Yes  |  Yes  | tubeit   |
| Cuby Bop                         |  Yes  |  Yes  |  Yes  |  Yes  | cubybop  |
| Play Girls                       |  Yes  |  Yes  |  Yes  |  Yes  | plgirls  |
| Play Girls 2                     |  Yes  |  Yes  |  Yes  |  Yes  | plgirls2 |
| Master of Weapon (World)         |  Yes  |  Yes  |  Yes  |   No  | masterw  |
| Nastar (World)                   |  Yes  |  Yes  |  Yes  |   No  | nastar   |
| Nastar Warrior (US)              |  Yes  |  Yes  |  Yes  |   No  | nastarw  |
| Rastan Saga 2 (Japan)            |  Yes  |  Yes  |  Yes  |   No  | rastsag2 |
| Crime City (World)               |  Yes  |  Yes  |  Yes  |   No  | crimec   |
| Crime City (US)                  |  Yes  |  Yes  |  Yes  |   No  | crimecu  |
| Crime City (Japan)               |  Yes  |  Yes  |  Yes  |   No  | crimecj  |
| Tetris (Japan, B-System)         |  Yes  |  Yes  |  Yes  |   No  | tetrist  |
| Violence Fight (World)           |  Yes  |  Yes  |  Yes  |   No  | viofight |
| Ashura Blaster (Japan)           |  Yes  |  Yes  |  Yes  |   No  | ashura   |
| Ashura Blaster (US)              |  Yes  |  Yes  |  Yes  |   No  | ashurau  |
| Hit the Ice (US)                 |  Yes  |  Yes  |  Yes  |   No  | hitice   |
| Rambo III (set 1, Europe)        |  Yes  |  Yes  |  Yes  |   No  | rambo3   |
| Rambo III (set 2, US)            |  Yes  |  Yes  |  Yes  |   No  | rambo3a  |
| Puzzle Bobble (Japan, B-System)  |  Yes  |  Yes  |  Yes  |   No  | puzbobb  |
| Quiz Sekai wa SHOW by shobai (Jap|  Yes  |  Yes  |  Yes  |   No  | qzshowby |
| Space Invaders DX (Japan)        |  Yes  |  Yes  |  Yes  |   No  | spacedx  |
| Silent Dragon (World)            |  Yes  |  Yes  |  Yes  |   No  | silentd  |
| Final Blow (World)               |  Yes  |  Yes  |  Yes  |  Yes  | finalb   |
| Final Blow (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | finalbj  |
| Don Doko Don (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | dondokod |
| Thunder Fox (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | thundfox |
| Camel Try (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | cameltry |
| Camel Try (US)                   |  Yes  |  Yes  |  Yes  |  Yes  | cameltru |
| Quiz Torimonochou (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | qtorimon |
| Liquid Kids (World)              |  Yes  |  Yes  |  Yes  |  Yes  | liquidk  |
| Liquid Kids (US)                 |  Yes  |  Yes  |  Yes  |  Yes  | liquidku |
| Mizubaku Daibouken (Japan)       |  Yes  |  Yes  |  Yes  |  Yes  | mizubaku |
| Quiz HQ (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | quizhq   |
| Super Space Invaders '91 (World) |  Yes  |  Yes  |  Yes  |  Yes  | ssi      |
| Majestic Twelve - The Space Invad|  Yes  |  Yes  |  Yes  |  Yes  | majest12 |
| Gun & Frontier (World)           |  Yes  |  Yes  |  Yes  |  Yes  | gunfront |
| Gun Frontier (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | gunfronj |
| Growl (World)                    |  Yes  |  Yes  |  Yes  |  Yes  | growl    |
| Growl (US)                       |  Yes  |  Yes  |  Yes  |  Yes  | growlu   |
| Runark (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | runark   |
| Mahjong Quest (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | mjnquest |
| Mahjong Quest (No Nudity)        |  Yes  |  Yes  |  Yes  |  Yes  | mjnquesb |
| Football Champ (World)           |  Yes  |  Yes  |  Yes  |  Yes  | footchmp |
| Hat Trick Hero (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | hthero   |
| Euro Champ '92 (World)           |  Yes  |  Yes  |  Yes  |  Yes  | euroch92 |
| Ah Eikou no Koshien (Japan)      |  Yes  |  Yes  |  Yes  |  Yes  | koshien  |
| Yuuyu no Quiz de GO!GO! (Japan)  |  Yes  |  Yes  |  Yes  |  Yes  | yuyugogo |
| Ninja Kids (World)               |  Yes  |  Yes  |  Yes  |  Yes  | ninjak   |
| Ninja Kids (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | ninjakj  |
| Solitary Fighter (World)         |  Yes  |  Yes  |  Yes  |  Yes  | solfigtr |
| Quiz Quest - Hime to Yuusha no Mo|  Yes  |  Yes  |  Yes  |  Yes  | qzquest  |
| PuLiRuLa (World)                 |  Yes  |  Yes  |  Yes  |  Yes  | pulirula |
| PuLiRuLa (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | pulirulj |
| Quiz Chikyu Bouei Gun (Japan)    |  Yes  |  Yes  |  Yes  |  Yes  | qzchikyu |
| Yes/No Sinri Tokimeki Chart      |  Yes  |  Yes  |  Yes  |  Yes  | yesnoj   |
| Dead Connection (World)          |  Yes  |  Yes  |  Yes  |  Yes  | deadconx |
| Dead Connection (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | deadconj |
| Dino Rex (World)                 |  Yes  |  Yes  |  Yes  |  Yes  | dinorex  |
| Dino Rex (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | dinorexj |
| Dino Rex (US)                    |  Yes  |  Yes  |  Yes  |  Yes  | dinorexu |
| Quiz Jinsei Gekijoh (Japan)      |  Yes  |  Yes  |  Yes  |  Yes  | qjinsei  |
| Quiz Crayon Shinchan (Japan)     |  Yes  |  Yes  |  Yes  |  Yes  | qcrayon  |
| Crayon Shinchan Orato Asobo (Japa|  Yes  |  Yes  |  Yes  |  Yes  | qcrayon2 |
| Drift Out (Japan)                |  Yes  |  Yes  |  Yes  |   No  | driftout |
| Drive Out                        |  Yes  |  Yes  |   No  |  Yes  | driveout |
| Tiger Heli (set 1)               | No(1) |  Yes  |  Yes  |   No  | tigerh   |
| Tiger Heli (set 2)               | No(1) |  Yes  |  Yes  |   No  | tigerh2  |
| Tiger Heli (Japan)               | No(1) |  Yes  |  Yes  |   No  | tigerhj  |
| Tiger Heli (bootleg 1)           |  Yes  |  Yes  |  Yes  |   No  | tigerhb1 |
| Tiger Heli (bootleg 2)           |  Yes  |  Yes  |  Yes  |   No  | tigerhb2 |
| Slap Fight                       | No(1) |  Yes  |  Yes  |   No  | slapfigh |
| Slap Fight (Japan bootleg)       |  Yes  |  Yes  |  Yes  |   No  | slapbtjp |
| Slap Fight (English bootleg)     |  Yes  |  Yes  |  Yes  |   No  | slapbtuk |
| Alcon                            | No(1) |  Yes  |  Yes  |   No  | alcon    |
| Guardian                         | No(1) |  Yes  |  Yes  |   No  | getstar  |
| Get Star (Japan)                 | No(1) |  Yes  |  Yes  |   No  | getstarj |
| Get Star (bootleg)               |  Yes  |  Yes  |  Yes  |   No  | getstarb |
| Flying Shark (World)             |  Yes  |  Yes  |  Yes  |  Yes  | fshark   |
| Sky Shark (US)                   |  Yes  |  Yes  |  Yes  |  Yes  | skyshark |
| Hishou Zame (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | hishouza |
| Flying Shark (bootleg)           |  Yes  |  Yes  |  Yes  |  Yes  | fsharkbt |
| Wardner (World)                  |  Yes  |  Yes  |  Yes  |  Yes  | wardner  |
| Pyros (US)                       |  Yes  |  Yes  |  Yes  |  Yes  | pyros    |
| Wardna no Mori (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | wardnerj |
| Twin Cobra (World)               |  Yes  |  Yes  |  Yes  |  Yes  | twincobr |
| Twin Cobra (US)                  |  Yes  |  Yes  |  Yes  |  Yes  | twincobu |
| Kyukyoku Tiger (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | ktiger   |
| Rally Bike / Dash Yarou          |  Yes  |  Yes  |  Yes  |  Yes  | rallybik |
| Truxton / Tatsujin               |  Yes  |  Yes  |  Yes  |  Yes  | truxton  |
| Hellfire                         |  Yes  |  Yes  |  Yes  |  Yes  | hellfire |
| Zero Wing                        |  Yes  |  Yes  |  Yes  |  Yes  | zerowing |
